Index,X,Y,Area
956,1459,1207,197.0
957,1608,1195,1.0
958,1997,1215,1561.0
959,1790,1193,28.0
960,1678,1200,479.5
961,1528,1202,798.0
962,792,1187,194.5
963,3238,1182,54.0
964,1622,1180,30.5
965,1212,1197,1235.5
966,2111,1186,374.0
967,736,1198,1101.5
968,1767,1175,7.5
969,2182,1200,2621.0
970,2604,1183,435.5
971,2437,1173,20.5
972,1958,1174,50.0
973,2476,1172,34.0
974,1193,1170,31.0
975,1539,1171,53.0
976,1119,1187,1859.5
977,2777,1174,309.5
978,1376,1170,106.5
979,2373,1167,111.0
980,1578,1162,50.0
981,1340,1168,379.5
982,3204,1156,4.0
983,3403,1155,3.0
984,1795,1158,44.0
985,2900,1181,2226.0
986,775,1154,9.0
987,1742,1154,47.0
988,1373,1152,24.5
989,1925,1149,6.0
990,1271,1146,3.0
991,2658,1151,124.5
992,2580,1157,577.0
993,2473,1147,34.5
994,1829,1168,1761.0
995,2366,1147,74.5
996,1798,1143,6.5
997,1044,1144,87.5
998,2157,1142,58.5
999,3316,1159,970.5
1000,2730,1153,1237.0
1001,2397,1138,67.5
1002,3292,1137,61.0
1003,2901,1137,82.0
1004,1795,1131,42.5
1005,1200,1130,69.5
1006,2248,1127,39.5
1007,2484,1122,1.5
1008,2315,1127,108.5
1009,1102,1128,131.5
1010,765,1125,36.5
1011,2078,1143,1711.5
1012,2659,1125,100.5
1013,3298,1122,61.5
1014,1464,1148,2537.0
1015,1139,1117,1.0
1016,941,1125,247.5
1017,1990,1117,1.0
1018,3075,1113,17.0
1019,2990,1110,2.5
1020,1714,1114,107.0
1021,1387,1119,638.0
1022,3007,1120,276.5
1023,1293,1117,484.5
1024,3409,1106,54.0
1025,909,1104,19.5
1026,1473,1104,37.0
1027,2526,1101,1.5
1028,1659,1114,612.5
1029,2622,1112,575.5
1030,3051,1100,25.0
1031,937,1100,38.0
1032,2747,1102,99.0
1033,1778,1102,180.5
1034,2537,1099,84.0
1035,1588,1097,49.5
1036,2494,1094,54.5
1037,2028,1093,34.5
1038,854,1140,3862.0
1039,1765,1090,29.0
1040,3162,1118,2829.5
1041,1539,1098,561.0
1042,1703,1089,99.0
1043,3226,1095,479.0
1044,2286,1090,222.5
1045,2153,1085,21.0
1046,2862,1099,1057.5
1047,1327,1083,58.5
1048,1240,1090,471.0
1049,1579,1078,39.0
1050,2900,1079,145.0
